size,brand,dominant_material,actual_color,product_type,body,product_details,type,variant_price,variant_compare_at_price,ideal_for,is_in_stock
XL,Global Desi,viscose,Yellow | Mustard,Top,"Mustard yellow printed woven regular top, has a round neck, short sleeves
The model (height 5'8"") is wearing a size S
100% viscose rayonDry-clean
When the temperatures heat up, opt for this breathable and comfortable top by Global Desi.  This mustard top with worn jeans and flats is the perfect ensemble for a leisurely midday stroll or casual outing with friends.","Mustard yellow printed woven regular top, has a round neck, short sleeves",Clothing/Women/Tops/Global Desi/More by Global Desi,659,1099,Women,In Stock
L,SOJANYA,Silk,Blue,Straight Kurta,"Blue solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
70% Silk and 30% cottonMachine-wash
This in-style kurta from SOJANYA is a must-have for any wardrobe.  Dress this blue piece up with your favourite accessories and head out to any family event in style.","Blue solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/SOJANYA/More by SOJANYA,639,1599,Men,In Stock
12-18M,JBN Creation,Silk,Red,Kurta with Pyjamas,"Red and gold-toned printed kurta with pyjamasRed straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slitsGold-coloured solid pyjamas, slip-on closure
Regular Fit
Top fabric: Silk Blend Bottom fabric: Silk Blend Dry-clean
Let your little guy gain due attention with this kurta set from JBN Creation. Help him style a good hairstyle to complete a well-groomed look.","Red and gold-toned printed kurta with pyjamasRed straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slitsGold-coloured solid pyjamas, slip-on closure",Clothing/Boys/Kurta Sets/JBN Creation/More by JBN Creation,1046,3489,Boys,Out of Stock
2-3Y,LilPicks,Cotton,Black | Green,Kurta with Dhoti Pants,"Green and black dyed kurta with dhoti pants  Green and black straight calf length kurta, has a mandarin collar, long sleeves, straight hem, multiple slits Green and black  Printed dhoti pants, has elasticated waistband, slip-on closure
Top fabric: Cotton Blend Bottom fabric: Cotton Blend Dry-clean","Green and black dyed kurta with dhoti pants  Green and black straight calf length kurta, has a mandarin collar, long sleeves, straight hem, multiple slits Green and black  Printed dhoti pants, has elasticated waistband, slip-on closure",Clothing/Boys/Kurta Sets/LilPicks/More by LilPicks,1150,1150,Boys,In Stock
S,Anouk,Cotton,Beige | Blue,A-Line Dress,"Beige and blue printed A-line fusion dress, has an off-shoulder neck with adjustable shoulder straps, short sleeves, curved hem
The model (height 5'8"") is wearing a size S
You'll love the elegant design and fit of this stunning dress from Anouk. Dress up for your next family event by pairing this beige piece with your best flats and simple jewellery.
100% CottonMachine-wash","Beige and blue printed A-line fusion dress, has an off-shoulder neck with adjustable shoulder straps, short sleeves, curved hem",Clothing/Women/Dresses/Anouk/More by Anouk,999,2499,Women,In Stock
Onesize,Jansons,Cotton,White,Readymade Dhoti," White solid readymade dhoti, has a velcro waist band, and a contrast zari border
The model(height 6"") is wearing size M
This simple yet elegant dhoti from Jansons is a must-have in your wardrobe. Team this with trendy piece of kurta and your favourite sandals when you're heading for a celebration.
Cotton Machine Wash"," White solid readymade dhoti, has a velcro waist band, and a contrast zari border",Clothing/Men/Dhotis/Jansons/More by Jansons,464,845,Men,In Stock
S,TREEMODA,Linen,Beige | White,Kurta with Pyjamas,"Beige solid kurta with pyjamas Beige straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid pyjamas, slip-on closure
The model (height 6') is wearing a size M
Top fabric: Linen Bottom fabric: Linen Dry-clean
From TREEMODA, this kurta is a great way to show off your style.  You'll look dapper as ever in this beige piece paired with slim jeans and sandals, ideal for any nice family gathering.","Beige solid kurta with pyjamas Beige straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid pyjamas, slip-on closure",Clothing/Men/Kurta Sets/TREEMODA/More by TREEMODA,3999,3999,Men,In Stock
S,Anouk,cotton,Grey,Kurta with Palazzos,"Off-White&nbsp;and grey printed kurta with palazzos Off-White and grey calf length kurta, has a round neck, sleeveless, straight hem, side slits Grey solid palazzos, slip-on closure
The model (height 5'8"") is wearing a size S
Look elegant in the stunning design of this white kurta set from Anouk.  Celebrate the romantic, eccentric, and traditional qualities of this kurta set by pairing it with gold accessories.
Top fabric: Pure cotton Bottom fabric: 55% cotton, 45% polyester Machine-wash","Off-White&nbsp;and grey printed kurta with palazzos Off-White and grey calf length kurta, has a round neck, sleeveless, straight hem, side slits Grey solid palazzos, slip-on closure",Clothing/Women/Kurta Sets/Anouk/More by Anouk,1199,2999,Women,In Stock
M,Biba,,Yellow,Anarkali Kurta,"Yellow embellished anarkali kurta, has a mandarin collar, three-quarter sleeves, curved hem
The model (height 5'8"") is wearing a size S
You'll love the style, comfort and durability of this Biba kurta.  Look chic for the day with this yellow kurta and leggings.
Dry Clean","Yellow embellished anarkali kurta, has a mandarin collar, three-quarter sleeves, curved hem",Clothing/Women/Kurtas/Biba/More by Biba,2849,3799,Women,Out of Stock
S,Fabindia,Silk,Maroon,Silk Kurta,"Maroon kurta with a slub-like effect, has a mandarin collar, long sleeves, a short button placket, one patch pocket, two insert pockets, a vented hem
The model (height 6') is wearing a size M
Silk Dry-clean This unique fabric has been dyed/ printed using traditional dyeing processes. Some colours may initially transfer when in dry or wet contact with light coloured fabrics or upholstery.&nbsp;
This Independence Day, keep it traditional and stylish when you wear the latest collection from Fabindia. Team this classic kurta with a pair of jeans and sandals to complete a smart, desi look.","Maroon kurta with a slub-like effect, has a mandarin collar, long sleeves, a short button placket, one patch pocket, two insert pockets, a vented hem",Clothing/Men/Kurtas/Fabindia/More by Fabindia,3490,3490,Men,Out of Stock
M,DEYANN,Dupion,Blue | Navy | Khaki,Kurta with Patiala,"Navy Blue and khaki solid kurta with patiala Navy Blue straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slits Khaki solid patiala, drawstring closure &nbsp;
The model (height 6') is wearing a size M
Complete your look with this kurta from DEYANN.  Achieve a comfortably chic look for your next dinner party or family outing when you team this navy blue piece with slim trousers and minimal flair.
Top fabric: Dupion Silk Bottom fabric: Dupion Silk Dry-clean","Navy Blue and khaki solid kurta with patiala Navy Blue straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slits Khaki solid patiala, drawstring closure &nbsp;",Clothing/Men/Kurta Sets/DEYANN/More by DEYANN,2990,2990,Men,In Stock
XL,Ethnix by Raymond,Viscose,Green,Straight Kurta,"Green solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
Sport this classic kurta from ethnix this season.  When you need a stylish ensemble for your next family function or party, sport this green piece with a pair of fitted jeans.
Poly ViscoseDry-clean","Green solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/Ethnix by Raymond/More by Ethnix by Raymond,2197,3995,Men,Out of Stock
M,Global Desi,Viscose Rayon,Yellow | Olive | Green,Straight Kurta,"Yellow and olive green woven design straight kurta, has a V-neck, three-quarter sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
Viscose Rayon  Machine-wash
This lux kurta from Global Desi will help you maintain an elegant look all year long.  For your next dinner party or family gathering, this yellow piece pairs well with dark leggings and chic flats.","Yellow and olive green woven design straight kurta, has a V-neck, three-quarter sleeves, straight hem, side slits",Clothing/Women/Kurtas/Global Desi/More by Global Desi,719,1799,Women,Out of Stock
L,Rohit Bal Limited,Cotton,Blue | Navy,Kurta with Pyjamas,"Navy Blue and off-white printed kurta with pyjamasNavy Blue and off-white printed straight calf length kurta, has a mandarin collar, long sleeves, straight hem, side slitsOff-white solid pyjamas, slip-on closureDisclaimer: Due to hand-dyeing and hand printing in this fine garment, color stains may occur and also color bleeding if contact with either by washing or perspiration.
The model (height 6') is wearing a size M
Top fabric: Pure Cotton Bottom fabric: Pure Cotton Dry-clean
Flaunt your style with a kurta from Rohit Bal Limited.  When you need a stylish ensemble for your next family function or party, sport this navy blue piece with a pair of fitted jeans.","Navy Blue and off-white printed kurta with pyjamasNavy Blue and off-white printed straight calf length kurta, has a mandarin collar, long sleeves, straight hem, side slitsOff-white solid pyjamas, slip-on closureDisclaimer: Due to hand-dyeing and hand printing in this fine garment, color stains may occur and also color bleeding if contact with either by washing or perspiration.",Clothing/Men/Kurta Sets/Rohit Bal Limited/More by Rohit Bal Limited,3822,6950,Men,In Stock
4XL,Kira Plus,Silk,Yellow,,"Yellow printed kaftan kurta, has a mandarin collar, three-quarter sleeves, straight hem, no slits
The model (height 5'8"") is wearing a size XL
Silk  Hand-wash
Make a statement with this elegant kurta from Kira Plus.  Dress up for your next family event by pairing this yellow piece with your best Kolhapuris and simple jewellery.","Yellow printed kaftan kurta, has a mandarin collar, three-quarter sleeves, straight hem, no slits",Clothing/Women/Kurtas/Kira Plus/More by Kira Plus,919,2299,Women,Out of Stock
S,even,Cotton,Orange,Straight Kurta,"Orange woven design straight kurta, has a mandarin collar, short button placket, long sleeves, curved hem
The model (height 6', shoulders 18"" and waist 32"") is wearing a size M
Flaunt your style with a kurta from even.  This orange piece is a great option for any evening event when combined with your favourite jeans or pyjamas.
Cotton   Machine-wash","Orange woven design straight kurta, has a mandarin collar, short button placket, long sleeves, curved hem",Clothing/Men/Kurtas/even/More by even,314,629,Men,Out of Stock
10-11Y,Aj DEZInES,Cotton,White | Green,Kurta with Churidar,"Green and white printed kurta with churidar Green straight above knee kurta, has a round neck, long sleeves, asymmetric hem, front slit White solid churidar, slip-on closure &nbsp;
Regular Fit
70% Cotton,30% Silk Machine-wash","Green and white printed kurta with churidar Green straight above knee kurta, has a round neck, long sleeves, asymmetric hem, front slit White solid churidar, slip-on closure &nbsp;",Clothing/Boys/Kurta Sets/Aj DEZInES/More by Aj DEZInES,939,1999,Boys,In Stock
XL,even,Cotton,White,A-Line Kurta,"White solid A-line kurta, has a mandarin collar, short sleeves, straight hem, side slits, has a pocket
The model (height 6') is wearing a size M
Flaunt your style with a kurta from even.  Dress this white piece up with your favourite accessories and head out to any family event in style.
Cotton   Machine-wash","White solid A-line kurta, has a mandarin collar, short sleeves, straight hem, side slits, has a pocket",Clothing/Men/Kurtas/even/More by even,599,799,Men,In Stock
Double Queen,DDecor,Cotton,Purple,,"Set content: 1 Double Bed Dohar GSM: 150 Colour: Purple Pattern: Floral
Size Dohar: 2.29 m x 2.54 m
Nothing matches the comfort of a nice and cosy-looking bed. DDecor brings to you these Dohar from DDecor Denim collection that boast of premium cotton fabric and unmatched comfort.
Cotton  Machine-wash",Set content: 1 Double Bed Dohar GSM: 150 Colour: Purple Pattern: Floral,Home/Unisex/Blankets Quilts and Dohars/DDecor/More by DDecor,2999,2999,Unisex,Out of Stock
XL,La Firangi,Viscose Rayon,Maroon,A-Line Kurta,"Maroon embroidered A-line kurta, has a round neck, three-quarter sleeves, flared hem
The model (height 5'8"") is wearing a size S
Viscose Rayon  Machine-wash
Make a statement with this elegant kurta from La Firangi.  Sport this maroon piece with studded flats and minimal jewellery for a simple yet stunning evening ensemble.","Maroon embroidered A-line kurta, has a round neck, three-quarter sleeves, flared hem",Clothing/Women/Kurtas/La Firangi/More by La Firangi,799,1999,Women,In Stock
L,even,Cotton,Grey,Short Kurta,"Grey solid short kurta, has a mandarin collar, long sleeves, curved hem, side slits
The model (height 6') is wearing a size M
Cotton   Machine-wash
This in-style kurta from even is a must-have for any wardrobe.  Dress this grey piece up with your favourite accessories and head out to any family event in style.","Grey solid short kurta, has a mandarin collar, long sleeves, curved hem, side slits",Clothing/Men/Kurtas/even/More by even,599,799,Men,Out of Stock
XXL,INDYA,Viscose Rayon,Black,Straight Kurta,"Peach-Coloured and black printed straight kurta, has a round neck, short sleeves, flared hem, side slits and attached skirt
The model (height 5'8"") is wearing a size S
Viscose Rayon Dry-clean
Keep it classy all year long with a stylish kurta from INDYA.  Dress up for your next family event by pairing this peach piece with your best Kolhapuris and simple jewellery.","Peach-Coloured and black printed straight kurta, has a round neck, short sleeves, flared hem, side slits and attached skirt",Clothing/Women/Kurtas/INDYA/More by INDYA,2040,3400,Women,Out of Stock
M,Biba,cotton,Teal | Blue | Burgundy,Layered A-Line Kurta,"Teal blue and burgundy solid layered A-Line kurta, has a shirt collar, mock button, long sleeves, flared hem, roll-up tab detail on the sleeves
The model (height 5'8"") is wearing a size S
This sumptuous kurta from Biba will help you maintain an elegant look all year long.  Dress up for your next family event by pairing this teal piece with your best Kolhapuris and simple jewellery.
Shell: 100% cotton Lining: 100% cotton&nbsp; Hand-wash","Teal blue and burgundy solid layered A-Line kurta, has a shirt collar, mock button, long sleeves, flared hem, roll-up tab detail on the sleeves",Clothing/Women/Kurtas/Biba/More by Biba,1199,1999,Women,Out of Stock
Onesize,Anekaant,Viscose,,Shawl,"Multicoloured woven design reversible shawl, has fringes along the ends
Length: 2 metres Width: 0.7 metre
Viscose Hand Wash
This shawl will keep you warm in this harsh cold weather. Designed with an attractive pattern, this shawl has a great visual appeal.","Multicoloured woven design reversible shawl, has fringes along the ends",Clothing/Women/Shawl/Anekaant/More by Anekaant,629,899,Women,In Stock
M,British Club,Cotton,Blue,Straight Kurta,"Blue solid straight kurta, has a mandarin collar, long sleeves, curved hem, side slits
The model (height 6') is wearing a size M
Sport this classic kurta from British Club this season.  You'll look dapper as ever in this blue piece paired with slim jeans and sandals, ideal for any nice family gathering.
Cotton Machine-wash","Blue solid straight kurta, has a mandarin collar, long sleeves, curved hem, side slits",Clothing/Men/Kurtas/British Club/More by British Club,897,1795,Men,Out of Stock
3XL,DEYANN,Dupion,Red | White,Kurta with Churidar,"Red and white printed kurta with churidar Red and white straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid churidar, drawstring closure
The model (height 6') is wearing a size M
Top fabric: Dupion Silk Bottom fabric: Dupion Silk Dry-clean
Complete your look with this kurta from DEYANN.  This brown piece is a great option for any evening event when combined with your favourite trousers or jeans.","Red and white printed kurta with churidar Red and white straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid churidar, drawstring closure",Clothing/Men/Kurta Sets/DEYANN/More by DEYANN,3391,3990,Men,In Stock
2-3Y,YK,Dupion,Beige | Red,Kurta with Salwar & Dupatta,"Red and beige solid kurta with salwar and dupattaRed straight above knee kurta, has a round neck, short sleeves, side slitsBeige solid salwar, has elasticated waistband, slip-on closureBeige solid dupatta, has taping border
Kurta fabric: dupion silkBottom fabric: dupion silkDupatta fabric: netHand-wash
Outfit your little girl in this adorable red kurta set from YK.  For the perfect dress-up look, pair this kurta set with flats and bangles.","Red and beige solid kurta with salwar and dupattaRed straight above knee kurta, has a round neck, short sleeves, side slitsBeige solid salwar, has elasticated waistband, slip-on closureBeige solid dupatta, has taping border",Clothing/Girls/Kurta Sets/YK/More by YK,759,1899,Girls,In Stock
3XL,Soch,Polyester,Red,Straight Kurta,"Soch Rust Georgette Straight Solid / Plain Kurtas
The model (height 5'8"") is wearing a size S
Polyester Dry-clean
Show off your elegant style with a brand new kurta from Soch.  This red piece is a stylish option for a nice family function or event when teamed with churidar leggings and classic flats.",Soch Rust Georgette Straight Solid / Plain Kurtas,Clothing/Women/Kurtas/Soch/More by Soch,698,998,Women,In Stock
Onesize,Sanjhi,,Grey,Dupatta,"Grey Printed Dupatta, has no border
Length: 2.4 m Width: 1.2 m
Voile  Dry-clean
Beautifully designed, this dupatta set from Sanjhi will let you flaunt your feminine side in a sartorial way. Team it up with matching jewellery and Kolhapuris or heels for a charming appeal.","Grey Printed Dupatta, has no border",Clothing/Women/Dupatta/Sanjhi/More by Sanjhi,779,1299,Women,Out of Stock
L,Hangup,Dupion,Brown,Kurta with Churidar,"Brown solid kurta with churidar Brown straight calf length kurta, has a round neck, long sleeves, curved hem, side slits Brown solid churidar, drawstring closure &nbsp;
The model (height 6') is wearing a size M
Complete your look with this kurta from Hangup.  When you need a stylish ensemble for your next family function or party, sport this brown piece with a pair of fitted jeans.
Top fabric: Poly Dupion Bottom fabric: Silk Blend Hand-wash","Brown solid kurta with churidar Brown straight calf length kurta, has a round neck, long sleeves, curved hem, side slits Brown solid churidar, drawstring closure &nbsp;",Clothing/Men/Kurta Sets/Hangup/More by Hangup,749,2999,Men,Out of Stock
XL,DEYANN,Dupion,Yellow | Green,Kurta with Patiala,"Yellow and green solid kurta with patialaYellow straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slitsGreen solid patiala, drawstring closureÂ 
The model (height 6') is wearing a size M
This in-style kurta from DEYANN is a must-have for any wardrobe.  When you need a stylish ensemble for your next family function or party, sport this yellow piece with a pair of fitted jeans.
Top fabric: Dupion Silk Bottom fabric: Dupion Silk Dry-clean","Yellow and green solid kurta with patialaYellow straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slitsGreen solid patiala, drawstring closureÂ ",Clothing/Men/Kurta Sets/DEYANN/More by DEYANN,1644,2990,Men,In Stock
XXL,Kira Plus,Cotton,Blue,Printed Kurta,"Blue printed kurta with harem pants and dupatta Blue straight calf length kurta, has a round neck, three-quarter sleeves, side slits Blue solid harem pants, has elasticated waistband Blue solid dupatta
The model (height 5'8"") is wearing a size XL
Kurta fabric: cotton blend Bottom fabric: pure cotton Dupatta fabric: silk chiffon Dry-clean
Look beautiful and polished, even during simple occasions, in this blue kurta set from Kira Plus.  Complement the intricate detailing of this kurta set with bright accessories.","Blue printed kurta with harem pants and dupatta Blue straight calf length kurta, has a round neck, three-quarter sleeves, side slits Blue solid harem pants, has elasticated waistband Blue solid dupatta",Clothing/Women/Kurta Sets/Kira Plus/More by Kira Plus,1999,4999,Women,Out of Stock
L,Abhiyuthan,Cotton,Maroon,Straight Kurta,"Maroon striped straight kurta, has a mandarin collar, short sleeves, straight hem, side slits
The model (height 6') is wearing a size M
Cotton  Machine-wash
From Abhiyuthan, this kurta is a great way to show off your style.  When you need a stylish ensemble for your next family function or party, sport this maroon piece with a pair of fitted jeans.","Maroon striped straight kurta, has a mandarin collar, short sleeves, straight hem, side slits",Clothing/Men/Kurtas/Abhiyuthan/More by Abhiyuthan,908,1398,Men,In Stock
L,Global Desi,,Black | White,,"Black and white striped handheld bag with applique, has a zip closure 1 main compartment, 1 external and 4 inner pockets Tablet sleeve: No Two Handles Warranty: 6 months Warranty provided by brand/manufacturer
Height: 26 cm Width: 34 cm Depth: 10 cm
PU Wipe with a clean, dry cloth to remove dust
This high-end handbag made by Global Desi is sure to impress.  For a chic work outfit, style this black piece with slick black jeans, a trendy top, and some platform heels.","Black and white striped handheld bag with applique, has a zip closure 1 main compartment, 1 external and 4 inner pockets Tablet sleeve: No Two Handles Warranty: 6 months Warranty provided by brand/manufacturer",Accessories/Women/Handbags/Global Desi/More by Global Desi,1239,3099,Women,In Stock
L,Abhiyuthan,Cotton,Blue,Straight Kurta,"Blue striped straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
Flaunt your style with a kurta from Abhiyuthan.  Dress this blue piece up with your favourite accessories and head out to any family event in style.
Cotton  Machine-wash","Blue striped straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/Abhiyuthan/More by Abhiyuthan,1498,1498,Men,In Stock
L,Global Desi,Viscose Rayon,Blue,Tunic,"Blue printed tunic, has a round neck, short button placket, three-quarter sleeves, curved hem
The model (height 5'8'') is wearing a size S
Viscose Rayon   Machine-wash
Show off your elegant style with a brand new tunic from Global Desi. Dress up for your next family event by pairing this peach piece with your best Kolhapuris and simple jewellery.","Blue printed tunic, has a round neck, short button placket, three-quarter sleeves, curved hem",Clothing/Women/Tunics/Global Desi/More by Global Desi,639,1599,Women,In Stock
3XL,Biba,Polyester,Black,Straight Kurta,"Black and golden printed straight kurta, has a notched round neck, three-quarter sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
Polyester and cotton blendHand-wash
Make a statement with this elegant kurta from Biba. This piece is a stylish option for a nice family function or event when teamed with churidar leggings and classic flats.","Black and golden printed straight kurta, has a notched round neck, three-quarter sleeves, straight hem, side slits",Clothing/Women/Kurtas/Biba/More by Biba,1999,1999,Women,In Stock
M,La Firangi,Cotton,Grey | Green,Straight Kurta,"Sea green and grey printed layered straight kurta, has a stylised round neck, ha tie-up detail on the front, three-quarter sleeves, flared hem, no slits
The model (height 5'8"") is wearing a size S
This breathable and stylish kurta from La Firangi is a must-have item for any wardrobe.  Dress up for your next family event by pairing this green piece with your best Kolhapuris and simple jewellery.
Cotton   Hand-wash","Sea green and grey printed layered straight kurta, has a stylised round neck, ha tie-up detail on the front, three-quarter sleeves, flared hem, no slits",Clothing/Women/Kurtas/La Firangi/More by La Firangi,752,1749,Women,In Stock
XL,Anouk,Viscose Rayon,Black,Straight Kurta,"Black woven design straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
Viscose Rayon and polyester Hand-wash
You'll love the elegant design and fit of this stunning kurta from Anouk.  This black piece is a stylish option for a nice family function or event when teamed with churidar leggings and classic flats.","Black woven design straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits",Clothing/Women/Kurtas/Anouk/More by Anouk,679,1699,Women,Out of Stock
M,irin,Cotton,Pink,Straight Kurta,"Pink&nbsp;solid straight kurta, has a mandarin collar, short button placket, long sleeves, straight hem
The model (height 6') is wearing a size L
Poly Cotton Dry-Clean
Complete your look with this kurta from irin. This orange piece is a great option for any evening event when combined with your favourite trousers or jeans.","Pink&nbsp;solid straight kurta, has a mandarin collar, short button placket, long sleeves, straight hem",Clothing/Men/Kurtas/irin/More by irin,1319,2199,Men,Out of Stock
L,Biba,cotton,Beige | Red,Straight Kurta,"Beige and red printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
90% cotton, 10% linenHand-wash
This breathable and stylish kurta from Biba is a must-have item for any wardrobe. Dress up for your next family event by pairing this piece with your best Kolhapuris and simple jewellery.","Beige and red printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits",Clothing/Women/Kurtas/Biba/More by Biba,999,999,Women,Out of Stock
M,Global Desi,polyester,Black,Solid Maxi Dress,"Black solid woven maxi dress, has a round neck, sleeveless, button closure straight hem
Semi-Fit  The model (height 5'8"") is wearing a size S
85% polyester, 12% viscose, 3% elastaneMachine-wash
Give your closet a makeover with this stylish Global Desi dress.  Complement this solid black piece with a pair of caged heels, your favourite bag and some minimalistic silver jewellery for a classy date ensemble.","Black solid woven maxi dress, has a round neck, sleeveless, button closure straight hem",Clothing/Women/Dresses/Global Desi/More by Global Desi,749,2499,Women,Out of Stock
M,DEYANN,Dupion,Grey | Charcoal,Kurta with Churidar,"Silver-toned and charcoal grey solid kurta with pyjamas  Silver-toned straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits  Charcoal solid pyjamas, drawstring closure
The model (height 6') is wearing a size M
Kurta fabric: dupion silk Bottom fabric: dupion silk Dry-clean
Sport this classic kurta from DEYANN this season.  Achieve a comfortably chic look for your next dinner party or family outing when you team this silver piece with slim trousers and minimal flair.","Silver-toned and charcoal grey solid kurta with pyjamas  Silver-toned straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits  Charcoal solid pyjamas, drawstring closure",Clothing/Men/Kurta Sets/DEYANN/More by DEYANN,1077,3590,Men,In Stock
M,SALWAR STUDIO,Cotton,Blue,Straight Kurta,"Blue printed straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
Complete your look with this kurta from SALWAR STUDIO.  When you need a stylish ensemble for your next family function or party, sport this blue piece with a pair of fitted jeans.
Cotton and cotton Hand-wash","Blue printed straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/SALWAR STUDIO/More by SALWAR STUDIO,744,1655,Men,Out of Stock
4XL,RAJUBHAI HARGOVINDAS,Cotton,White | Green,Kurta with Pyjamas,"Green and white self design kurta with pyjamas Green straight calf length kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid pyjamas, drawstring closure &nbsp;
The model (height 6') is wearing a size M
Top fabric: Pure Cotton Bottom fabric: Pure Cotton Machine-wash
Sport this classic kurta from RAJUBHAI HARGOVINDAS this season.  You'll look dapper as ever in this green piece paired with slim jeans and sandals, ideal for any nice family gathering.","Green and white self design kurta with pyjamas Green straight calf length kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid pyjamas, drawstring closure &nbsp;",Clothing/Men/Kurta Sets/RAJUBHAI HARGOVINDAS/More by RAJUBHAI HARGOVINDAS,2499,2499,Men,Out of Stock
S,VASTRAMAY,Dupion,Grey,Kurta with Churidar,"Grey solid kurta with churidar Grey straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Grey solid churidar, drawstring closure &nbsp;
The model (height 6') is wearing a size M
Top fabric: Dupion Silk Bottom fabric: Dupion Silk Dry-clean
Flaunt your style with a kurta from VASTRAMAY.  You'll look dapper as ever in this grey piece paired with slim jeans and sandals, ideal for any nice family gathering.","Grey solid kurta with churidar Grey straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Grey solid churidar, drawstring closure &nbsp;",Clothing/Men/Kurta Sets/VASTRAMAY/More by VASTRAMAY,999,2499,Men,In Stock
S,even,Cotton,Blue,,"Indigo blue woven kurta, has a mandarin collar, long sleeves, short button placket on the chest, patch pocket on the left side of the chest, insert pockets on both sides of the waist, vented hem
The model (height 6' and shoulders 18"") is wearing a size M
Cotton Machine wash
Look dashing in this classic kurta from even. Team it with pyjama bottoms or a pair of jeans and sandals to complete the ensemble.","Indigo blue woven kurta, has a mandarin collar, long sleeves, short button placket on the chest, patch pocket on the left side of the chest, insert pockets on both sides of the waist, vented hem",Clothing/Men/Kurtas/even/More by even,479,799,Men,In Stock
30,studio rasa,Silk,,Maxi Skirt,"Golden-coloured woven solid maxi skirt, slip-on and zip closure, flared hem
Complete this look with a gold blouse and matching dupatta and statement earrings and look your ethnic best.
Silk blendÂ Dry Clean","Golden-coloured woven solid maxi skirt, slip-on and zip closure, flared hem",Clothing/Women/Skirts/studio rasa/More by studio rasa,1149,2299,Women,Out of Stock
L,Shree,liva,Pink | Green | Sea Green,Tunic,"Sea green, pink and off-white printed tunic, has a round neck, three-quarter sleeves, tie-ups detail on both sides
The model (height 5'8'') is wearing a size S
Now add a modish twist to your wardrobe with this stylish tunic from Shree. Team it up with a pair of leggings of complete your stylish ensemble.
100% liva Hand-wash","Sea green, pink and off-white printed tunic, has a round neck, three-quarter sleeves, tie-ups detail on both sides",Clothing/Women/Tunics/Shree/More by Shree,479,799,Women,Out of Stock
XL,SOJANYA,Dupion,Green,Kurta with Churidar,"Gold-Toned and green solid kurta with churidar Gold-Toned straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Gold-Toned solid churidar, drawstring closure Green Nehru jacket
The model (height 6') is wearing a size M
Made from banarsi dupion silk fabric, this set will surely make you the cynosure of all eyes. Team this Kurta Pyjama Nehru jacket set with a pair of mojris or kolhapuri chappals to give a classy touch to your ethnic look.&nbsp;
Top fabric: Dupion Silk Bottom fabric: Dupion Silk Nehru Jacket:&nbsp;Dupion Silk Machine-wash","Gold-Toned and green solid kurta with churidar Gold-Toned straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Gold-Toned solid churidar, drawstring closure Green Nehru jacket",Clothing/Men/Kurta Sets/SOJANYA/More by SOJANYA,2249,4499,Men,In Stock
